,Consumption,Total Fossil,Total Green,Coal,Wind
Consumption,1.0,0.6270222934674213,0.33664312346476377,0.4722982879893769,0.10202645945209429
Total Fossil,0.6270222934674213,1.0,-0.10257196934889408,0.6994842402696975,0.0110298563303736
Total Green,0.33664312346476377,-0.10257196934889408,1.0,-0.010408443842936512,0.6052094580605333
Coal,0.4722982879893769,0.6994842402696975,-0.010408443842936512,1.0,-0.0695461356209341
Wind,0.10202645945209429,0.0110298563303736,0.6052094580605333,-0.0695461356209341,1.0
